refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,hard_easy
0,1.0,1,23232,1.240234375,0.119140625,3.0,1.0,13,66,6,1257.83056640625,296.270446777344,0,1,objects,small,1,1,objects,P,big,VS,O,2,E01,4.400390625,1
0,1.0,0,23278,0.9375,0.125,3.0,1.0,10,56,4,1159.45556640625,191.059768676758,0,1,objects,small,1,1,objects,P,small,VS,O,4,E01,12.798828125,1
0,1.0,1,23279,1.109375,0.162109375,4.0,1.0,8,47,5,1093.4130859375,274.922119140625,0,1,objects,big,1,1,objects,P,small,VS,O,4,E01,12.798828125,1
0,1.0,0,23583,0.53125,0.130859375,2.0,1.0,5,19,2,727.278015136719,161.494171142578,0,1,objects,big,1,1,faces,P,female,VS,F,16,E01,63.189453125,0
0,1.0,0,23634,1.7578125,0.1484375,5.0,0.0,6,24,8,803.429565429688,608.787231445312,0,1,objects,big,1,1,faces,P,female,VS,F,18,E01,71.587890625,0
0,1.0,0,23709,1.453125,0.134765625,5.0,0.0,9,40,6,950.002746582031,426.230041503906,0,1,objects,small,1,1,objects,P,small,VS,O,21,E01,84.185546875,1
0,1.0,0,23818,2.95703125,0.123046875,9.0,0.0,7,52,15,1057.81115722656,770.4609375,0,1,objects,big,1,1,faces,P,female,VS,F,25,E01,100.982421875,0
0,1.0,0,23937,1.2421875,0.125,5.0,0.0,14,75,6,1392.00866699219,378.409729003906,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23939,1.6171875,0.19921875,7.0,0.0,3,22,8,791.37841796875,451.220367431641,0,1,objects,small,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23940,1.861328125,0.138671875,8.0,0.0,4,32,9,879.199462890625,544.513061523438,0,1,objects,small,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23944,2.9453125,0.13671875,12.0,0.0,12,70,13,1261.6552734375,735.941467285156,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,23945,3.134765625,0.140625,13.0,0.0,11,68,14,1262.39538574219,555.264465332031,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,0
0,1.0,0,24012,0.658203125,0.205078125,2.0,1.0,11,65,4,1310.43896484375,281.281890869141,0,1,objects,small,1,1,objects,P,small,VS,O,32,E01,130.376953125,1
0,1.0,0,24303,1.11328125,0.162109375,4.0,1.0,4,22,5,747.702209472656,447.280364990234,0,1,objects,small,1,1,objects,P,big,VS,O,44,E01,180.767578125,1
0,1.0,0,24431,2.205078125,0.1875,4.0,1.0,8,34,7,861.879821777344,733.322326660156,0,1,objects,big,1,1,faces,P,male,VS,F,49,E01,201.763671875,0
0,1.0,0,24577,0.5390625,0.36328125,2.0,1.0,13,56,2,1177.07690429688,244.857757568359,0,1,objects,small,1,1,objects,P,small,VS,O,55,E01,226.958984375,1
0,1.0,0,24600,1.353515625,0.224609375,3.0,1.0,7,42,4,999.66650390625,628.956787109375,0,1,objects,small,1,1,objects,P,big,VS,O,56,E01,231.158203125,1
0,1.0,0,24601,1.625,0.171875,4.0,1.0,11,60,5,1178.12170410156,627.736511230469,0,1,objects,big,1,1,objects,P,big,VS,O,56,E01,231.158203125,1
0,1.0,0,24602,1.873046875,0.267578125,5.0,0.0,2,15,6,624.904479980469,657.756713867188,0,1,objects,small,1,1,objects,P,big,VS,O,56,E01,231.158203125,1
0,1.0,0,24603,2.23046875,0.22265625,6.0,0.0,8,52,7,1099.73718261719,760.257995605469,0,1,objects,small,1,1,objects,P,big,VS,O,56,E01,231.158203125,1
0,1.0,0,24887,1.38671875,0.23046875,3.0,1.0,3,23,5,737.35498046875,516.80224609375,0,1,objects,small,1,1,faces,P,male,VS,F,67,E01,277.349609375,0
0,1.0,0,24888,1.673828125,0.1328125,4.0,1.0,7,50,6,1032.78125,525.287109375,0,1,objects,big,1,1,faces,P,male,VS,F,67,E01,277.349609375,0
0,1.0,0,25324,1.462890625,0.24609375,5.0,0.0,4,12,6,644.184814453125,345.332092285156,0,1,objects,small,1,1,faces,P,female,VS,F,76,E01,315.142578125,0
0,1.0,0,26032,0.8125,0.134765625,3.0,1.0,1,1,3,578.214111328125,154.82666015625,0,1,objects,big,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26034,1.318359375,0.275390625,5.0,0.0,5,21,5,803.272827148438,360.571228027344,0,1,objects,big,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26037,2.078125,0.18359375,6.0,0.0,13,61,8,1163.60632324219,741.0703125,0,1,objects,small,1,1,faces,P,female,VS,I,102,E01,424.322265625,0
0,1.0,0,26051,0.76171875,0.109375,2.0,1.0,13,75,3,1386.53735351562,306.834014892578,0,1,objects,big,1,1,objects,P,big,VS,O,103,E01,428.521484375,1
0,1.0,0,26052,0.900390625,0.216796875,3.0,1.0,12,74,4,1374.36694335938,278.625854492188,0,1,objects,small,1,1,objects,P,big,VS,O,103,E01,428.521484375,1
0,1.0,0,26158,0.478515625,0.26171875,2.0,1.0,7,41,2,972.236633300781,492.193206787109,0,1,objects,small,1,1,objects,P,big,VS,O,107,E01,445.318359375,1
1,1.0,0,26398,0.482421875,0.203125,2.0,1.0,2,2,2,566.635192871094,193.745788574219,0,1,objects,small,1,1,faces,P,female,VS,I,116,E01,483.111328125,0
0,1.0,0,26428,0.654296875,0.212890625,2.0,1.0,1,1,4,564.562438964844,138.441635131836,0,1,objects,big,1,1,objects,P,small,VS,O,117,E01,487.310546875,1
0,1.0,0,26450,1.60546875,0.181640625,4.0,1.0,3,14,7,637.7646484375,502.627899169922,0,1,objects,small,1,1,faces,P,male,VS,I,118,E01,491.509765625,0
0,1.0,0,26471,1.431640625,0.345703125,3.0,1.0,14,77,5,1405.8720703125,534.388244628906,0,1,objects,small,1,1,objects,P,small,VS,O,119,E01,495.708984375,1
0,1.0,0,26528,2.248046875,0.236328125,5.0,0.0,10,53,11,1050.80407714844,840.283386230469,0,1,objects,big,1,1,faces,P,male,VS,I,121,E01,504.107421875,0
0,1.0,1,26532,3.087890625,0.15625,8.0,0.0,12,63,15,1127.728515625,973.958129882812,0,1,objects,big,1,1,faces,P,male,VS,I,121,E01,504.107421875,0
0,1.0,0,26724,2.353515625,0.162109375,6.0,0.0,1,3,12,571.526794433594,378.707763671875,0,1,objects,small,1,1,faces,P,female,VS,F,128,E01,533.501953125,0
0,1.0,0,26926,2.17578125,0.1640625,4.0,1.0,11,68,8,1280.84851074219,577.437438964844,0,1,objects,small,1,1,objects,P,small,VS,O,136,E01,567.095703125,1
0,1.0,0,27137,0.470703125,0.185546875,2.0,1.0,8,56,2,1162.59167480469,223.639694213867,0,1,objects,small,1,1,objects,P,small,VS,O,144,E01,600.689453125,1
0,1.0,0,27414,1.869140625,0.212890625,5.0,0.0,6,42,8,956.059326171875,635.0419921875,0,1,objects,small,1,1,faces,P,male,VS,F,148,E01,617.486328125,0
0,1.0,0,27430,1.111328125,0.224609375,3.0,1.0,9,42,4,933.024841308594,604.525634765625,0,1,objects,small,1,1,objects,P,small,VS,O,149,E01,621.685546875,1
0,1.0,0,27492,1.033203125,0.119140625,2.0,1.0,6,38,5,936.087829589844,204.736633300781,0,1,objects,big,1,1,faces,P,female,VS,I,151,E01,630.083984375,0
0,1.0,0,27742,0.556640625,0.146484375,2.0,1.0,1,4,3,559.467529296875,436.854705810547,0,1,objects,small,1,1,faces,P,female,VS,I,161,E01,672.076171875,0
0,1.0,0,27964,0.998046875,0.16796875,4.0,1.0,13,68,5,1273.81945800781,493.272155761719,0,1,objects,small,1,1,faces,P,female,VS,I,169,E01,705.669921875,0
0,1.0,1,27965,1.236328125,0.3203125,5.0,0.0,6,32,6,888.273254394531,547.81494140625,0,1,objects,small,1,1,faces,P,female,VS,I,169,E01,705.669921875,0
0,1.0,0,28205,1.611328125,0.12890625,6.0,0.0,11,52,8,1010.17034912109,723.722290039062,0,1,objects,big,1,1,objects,P,small,VS,O,178,E01,743.462890625,1
0,1.0,0,28206,1.8046875,0.17578125,7.0,0.0,6,35,9,820.063903808594,821.923706054688,0,1,objects,small,1,1,objects,P,small,VS,O,178,E01,743.462890625,1
0,1.0,0,28207,2.021484375,0.373046875,8.0,0.0,7,36,10,850.147338867188,925.976013183594,0,1,objects,big,1,1,objects,P,small,VS,O,178,E01,743.462890625,1
0,1.0,0,28260,1.0078125,0.166015625,3.0,1.0,2,3,5,581.009521484375,313.487060546875,0,1,objects,big,1,1,faces,P,female,VS,I,180,E01,751.861328125,0
0,1.0,0,28261,1.271484375,0.1484375,4.0,1.0,1,1,6,550.678283691406,165.758575439453,0,1,objects,small,1,1,faces,P,female,VS,I,180,E01,751.861328125,0
0,1.0,0,28504,1.435546875,0.15234375,3.0,1.0,6,33,6,908.925903320312,672.710693359375,0,1,objects,small,1,1,objects,P,big,VS,O,189,E01,789.654296875,1
0,1.0,0,28505,1.662109375,0.201171875,4.0,1.0,10,53,7,1050.01611328125,837.261840820312,0,1,objects,small,1,1,objects,P,big,VS,O,189,E01,789.654296875,1
0,1.0,0,28866,1.494140625,0.138671875,5.0,0.0,14,70,7,1252.68798828125,744.369079589844,0,1,objects,small,1,1,faces,P,female,VS,F,203,E01,848.443359375,0
0,1.0,1,20886,2.3046875,0.103515625,7.0,0.0,3,17,12,649.312561035156,882.624328613281,0,1,objects,big,1,1,faces,P,male,VS,I,14,E03,54.791015625,0
0,1.0,0,20983,0.37109375,0.1171875,2.0,1.0,9,48,2,1041.80651855469,378.630340576172,0,1,objects,small,1,1,faces,P,female,VS,I,18,E03,71.587890625,0
0,1.0,1,21083,0.43359375,0.119140625,2.0,1.0,5,24,2,799.49462890625,658.635864257812,0,1,objects,small,1,1,objects,P,big,VS,O,22,E03,88.384765625,1
0,1.0,1,21088,1.33984375,0.138671875,4.0,1.0,2,15,7,629.753234863281,660.459350585938,0,1,objects,small,1,1,objects,P,big,VS,O,22,E03,88.384765625,1
0,1.0,1,21150,0.521484375,0.2265625,2.0,1.0,6,20,4,750.244750976562,214.214996337891,0,1,objects,big,1,1,objects,P,small,VS,O,24,E03,96.783203125,1
1,1.0,0,21815,0.501953125,0.12890625,2.0,1.0,5,22,2,755.962890625,474.938140869141,0,1,objects,small,1,1,objects,P,big,VS,O,45,E03,184.966796875,1
0,1.0,0,22931,0.423828125,0.279296875,2.0,1.0,4,19,2,768.93212890625,166.605667114258,0,1,objects,big,1,1,objects,P,big,VS,O,73,E03,302.544921875,1
0,1.0,1,22932,0.7734375,0.146484375,3.0,1.0,6,31,3,871.867614746094,479.911254882812,0,1,objects,big,1,1,objects,P,big,VS,O,73,E03,302.544921875,1
0,1.0,1,23240,1.7109375,0.125,6.0,0.0,11,55,10,1126.50659179688,156.512329101562,0,1,objects,big,1,1,faces,P,female,VS,I,82,E03,340.337890625,0
0,1.0,0,23245,2.5625,0.18359375,8.0,0.0,4,18,15,652.0205078125,920.382080078125,0,1,objects,small,1,1,faces,P,female,VS,I,82,E03,340.337890625,0
0,1.0,0,23446,2.376953125,0.1484375,5.0,0.0,2,17,10,689.26416015625,819.176574707031,0,1,objects,small,1,1,faces,P,male,VS,F,88,E03,365.533203125,0
1,1.0,0,23478,2.080078125,0.126953125,5.0,0.0,14,62,11,1156.33239746094,860.065307617188,0,1,objects,big,1,1,objects,P,big,VS,O,89,E03,369.732421875,1
0,1.0,0,23652,1.578125,0.154296875,2.0,1.0,7,39,10,982.424560546875,376.728240966797,0,1,objects,small,1,1,faces,P,male,VS,F,94,E03,390.728515625,0
0,1.0,0,23655,2.1953125,0.16796875,4.0,1.0,6,33,13,838.799072265625,627.310424804688,0,1,objects,small,1,1,faces,P,male,VS,F,94,E03,390.728515625,0
0,1.0,0,24067,0.951171875,0.185546875,3.0,1.0,8,48,5,1091.40759277344,376.471466064453,0,1,objects,big,1,1,objects,P,small,VS,O,107,E03,445.318359375,1
0,1.0,0,24068,1.19921875,0.1640625,4.0,1.0,11,59,6,1192.16857910156,583.135070800781,0,1,objects,small,1,1,objects,P,small,VS,O,107,E03,445.318359375,1
0,1.0,0,24069,1.396484375,0.12109375,5.0,0.0,12,60,7,1169.70971679688,654.523376464844,0,1,objects,big,1,1,objects,P,small,VS,O,107,E03,445.318359375,1
0,1.0,0,24223,0.814453125,0.10546875,2.0,1.0,10,46,4,1052.67724609375,169.964233398438,0,1,objects,big,1,1,faces,P,female,VS,F,113,E03,470.513671875,0
0,1.0,0,24248,0.6171875,0.12890625,2.0,1.0,6,22,3,781.7412109375,444.195983886719,0,1,objects,big,1,1,objects,P,big,VS,O,114,E03,474.712890625,1
0,1.0,1,24277,1.677734375,0.123046875,6.0,0.0,7,33,8,905.696166992188,675.270568847656,0,1,objects,small,1,1,faces,P,female,VS,F,115,E03,478.912109375,0
0,1.0,0,24279,2.029296875,0.107421875,7.0,0.0,6,16,10,618.939758300781,733.016906738281,0,1,objects,small,1,1,faces,P,female,VS,F,115,E03,478.912109375,0
0,1.0,1,24425,0.638671875,0.10546875,2.0,1.0,1,13,3,672.013244628906,440.663330078125,0,1,objects,big,1,1,objects,P,small,VS,O,120,E03,499.908203125,1
0,1.0,1,24485,2.28515625,0.13671875,8.0,0.0,1,1,11,585.082824707031,189.537750244141,0,1,objects,small,1,1,faces,P,female,VS,I,122,E03,508.306640625,0
0,1.0,0,24509,0.76953125,0.123046875,3.0,1.0,6,20,5,744.4677734375,206.257522583008,0,1,objects,small,1,1,faces,P,female,VS,I,123,E03,512.505859375,0
0,1.0,1,25316,2.0,0.119140625,6.0,0.0,12,45,11,950.493347167969,938.412780761719,0,1,objects,big,1,1,faces,P,male,VS,I,141,E03,588.091796875,0
0,1.0,0,23108,0.45703125,0.109375,2.0,1.0,3,25,2,771.5869140625,747.442932128906,0,1,objects,small,1,1,objects,P,big,VS,O,2,E04,4.400390625,1
0,1.0,0,23109,0.603515625,0.201171875,3.0,1.0,1,5,3,533.082275390625,525.327209472656,0,1,objects,big,1,1,objects,P,big,VS,O,2,E04,4.400390625,1
0,1.0,0,23169,0.486328125,0.111328125,2.0,1.0,2,11,2,632.425537109375,216.064514160156,0,1,objects,small,1,1,objects,P,small,VS,O,4,E04,12.798828125,1
0,1.0,0,23224,0.900390625,0.240234375,2.0,1.0,4,17,5,611.873352050781,836.572814941406,0,1,objects,big,1,1,faces,P,male,VS,I,6,E04,21.197265625,0
0,1.0,0,23227,1.453125,0.1171875,4.0,1.0,7,38,8,945.910217285156,289.681488037109,0,1,objects,small,1,1,faces,P,male,VS,I,6,E04,21.197265625,0
0,1.0,0,24842,1.126953125,0.185546875,3.0,1.0,4,15,5,664.263366699219,603.13427734375,0,1,objects,small,1,1,objects,P,small,VS,O,73,E04,302.544921875,1
0,1.0,0,24847,2.248046875,0.138671875,7.0,0.0,14,70,10,1260.0107421875,724.873657226562,0,1,objects,big,1,1,objects,P,small,VS,O,73,E04,302.544921875,1
0,1.0,0,25364,1.630859375,0.267578125,4.0,1.0,12,74,10,1398.95373535156,268.463165283203,0,1,objects,small,1,1,objects,P,big,VS,O,103,E04,428.521484375,1
0,1.0,0,25846,1.623046875,0.154296875,3.0,1.0,10,53,10,1088.48474121094,829.584777832031,0,1,objects,big,1,1,faces,P,male,VS,I,121,E04,504.107421875,0
0,1.0,0,25966,1.23828125,0.2265625,3.0,1.0,9,50,8,1094.41943359375,551.260314941406,0,1,objects,small,1,1,faces,P,female,VS,F,125,E04,520.904296875,0
0,1.0,0,26331,1.083984375,0.1953125,2.0,1.0,11,68,4,1244.4423828125,567.72705078125,0,1,objects,small,1,1,objects,P,small,VS,O,136,E04,567.095703125,1
0,1.0,0,26900,2.474609375,0.23828125,7.0,0.0,2,13,11,624.411682128906,415.034973144531,0,1,objects,big,1,1,faces,P,female,VS,I,161,E04,672.076171875,0
0,1.0,0,27153,1.380859375,0.193359375,2.0,1.0,7,40,5,959.423828125,485.821960449219,0,1,objects,big,1,1,objects,P,small,VS,O,176,E04,735.064453125,1
0,1.0,0,27583,2.078125,0.111328125,4.0,1.0,15,81,6,1408.24963378906,962.856811523438,0,1,objects,big,1,1,faces,P,female,VS,F,195,E04,814.849609375,0
0,1.0,0,27601,1.03125,0.146484375,3.0,1.0,8,62,4,1196.46008300781,888.897094726562,0,1,objects,small,1,1,faces,P,male,VS,I,196,E04,819.048828125,0
0,1.0,0,27753,1.3515625,0.15625,4.0,1.0,9,52,8,1065.21301269531,773.735473632812,0,1,objects,big,1,1,faces,P,female,VS,F,203,E04,848.443359375,0
1,1.0,1,27773,0.58984375,0.263671875,2.0,1.0,7,26,3,763.50732421875,865.285217285156,0,1,objects,small,1,1,objects,P,small,VS,O,204,E04,852.642578125,1
0,1.0,0,27793,0.90625,0.1015625,2.0,1.0,15,79,4,1370.25280761719,707.794250488281,0,1,objects,big,1,1,objects,P,big,VS,O,205,E04,856.841796875,1
0,1.0,0,27794,1.08984375,0.19921875,3.0,1.0,8,31,5,849.187805175781,471.180389404297,0,1,objects,big,1,1,objects,P,big,VS,O,205,E04,856.841796875,1
0,1.0,0,23113,0.556640625,0.162109375,2.0,1.0,4,14,2,638.741638183594,535.236389160156,0,1,objects,big,1,1,faces,P,male,VS,I,2,E05,4.400390625,0
0,1.0,0,23114,0.775390625,0.185546875,3.0,1.0,5,25,3,723.580261230469,762.073547363281,0,1,objects,big,1,1,faces,P,male,VS,I,2,E05,4.400390625,0
0,1.0,0,23116,1.177734375,0.17578125,4.0,1.0,9,56,5,1164.36730957031,249.487609863281,0,1,objects,small,1,1,faces,P,male,VS,I,2,E05,4.400390625,0
0,1.0,0,23117,1.39453125,0.197265625,5.0,0.0,10,64,6,1248.2802734375,171.180999755859,0,1,objects,small,1,1,faces,P,male,VS,I,2,E05,4.400390625,0
0,1.0,0,23481,0.6640625,0.154296875,3.0,1.0,1,3,4,547.102661132812,329.0693359375,0,1,objects,small,1,1,objects,P,small,VS,O,13,E05,50.591796875,1
0,1.0,0,23554,1.23046875,0.181640625,5.0,0.0,2,10,7,688.707885742188,154.009857177734,0,1,objects,small,1,1,faces,P,female,VS,I,15,E05,58.990234375,0
0,1.0,0,24064,0.62890625,0.126953125,2.0,1.0,4,8,3,582.595397949219,876.773193359375,0,1,objects,big,1,1,faces,P,female,VS,F,32,E05,130.376953125,0
0,1.0,1,24134,0.755859375,0.10546875,2.0,1.0,3,14,5,656.282104492188,573.832336425781,0,1,objects,big,1,1,objects,P,small,VS,O,34,E05,138.775390625,1
1,1.0,0,24137,1.24609375,0.15625,4.0,1.0,9,57,8,1162.24768066406,335.880432128906,0,1,objects,big,1,1,objects,P,small,VS,O,34,E05,138.775390625,1
0,1.0,0,24203,0.47265625,0.173828125,2.0,1.0,1,4,3,540.760681152344,454.238494873047,0,1,objects,big,1,1,objects,P,big,VS,O,36,E05,147.173828125,1
0,1.0,0,24205,0.84375,0.107421875,3.0,1.0,5,48,5,1052.30480957031,333.542541503906,0,1,objects,small,1,1,objects,P,big,VS,O,36,E05,147.173828125,1
0,1.0,0,24341,1.427734375,0.12890625,5.0,0.0,13,61,6,1144.80224609375,744.017272949219,0,1,objects,small,1,1,faces,P,male,VS,F,40,E05,163.970703125,0
0,1.0,0,24565,0.6171875,0.13671875,2.0,1.0,10,52,3,1060.13244628906,744.911804199219,0,1,objects,big,1,1,faces,P,female,VS,F,47,E05,193.365234375,0
0,1.0,0,24942,0.97265625,0.1640625,2.0,1.0,10,65,6,1254.81628417969,212.547805786133,0,1,objects,big,1,1,faces,P,female,VS,F,59,E05,243.755859375,0
1,1.0,0,24970,1.12109375,0.1328125,3.0,1.0,13,66,6,1225.2763671875,348.454650878906,0,1,objects,big,1,1,objects,P,small,VS,O,60,E05,247.955078125,1
0,1.0,0,25247,1.25,0.10546875,4.0,1.0,12,65,5,1255.37048339844,208.905792236328,0,1,objects,small,1,1,objects,P,big,VS,O,69,E05,285.748046875,1
0,1.0,0,25254,2.544921875,0.10546875,7.0,0.0,3,17,12,619.870849609375,857.339965820312,0,1,objects,big,1,1,objects,P,big,VS,O,69,E05,285.748046875,1
0,1.0,0,25639,1.09375,0.126953125,2.0,1.0,12,54,5,1030.85583496094,912.561889648438,0,1,objects,small,1,1,objects,P,big,VS,O,75,E05,310.943359375,1
1,1.0,0,25831,0.994140625,0.16796875,2.0,1.0,3,11,5,616.762817382812,221.718276977539,0,1,objects,big,1,1,faces,P,female,VS,F,81,E05,336.138671875,0
0,1.0,0,25835,1.900390625,0.154296875,6.0,0.0,13,70,9,1242.61535644531,772.783874511719,0,1,objects,small,1,1,faces,P,female,VS,F,81,E05,336.138671875,0
0,1.0,0,25863,0.9765625,0.189453125,2.0,1.0,6,30,4,838.1376953125,311.961730957031,0,1,objects,small,1,1,objects,P,big,VS,O,82,E05,340.337890625,1
1,1.0,0,26684,0.61328125,0.177734375,2.0,1.0,6,13,3,667.460021972656,461.476959228516,0,1,objects,small,1,1,objects,P,small,VS,O,109,E05,453.716796875,1
0,1.0,0,26781,0.546875,0.189453125,2.0,1.0,9,31,2,840.564270019531,414.198211669922,0,1,objects,big,1,1,faces,P,female,VS,F,112,E05,466.314453125,0
0,1.0,0,26782,0.771484375,0.130859375,3.0,1.0,8,30,3,851.333801269531,339.906585693359,0,1,objects,big,1,1,faces,P,female,VS,F,112,E05,466.314453125,0
0,1.0,0,26943,0.919921875,0.240234375,3.0,1.0,2,4,4,561.145935058594,419.127227783203,0,1,objects,big,1,1,faces,P,female,VS,F,117,E05,487.310546875,0
0,1.0,0,26944,1.212890625,0.13671875,4.0,1.0,5,12,5,622.159240722656,323.589202880859,0,1,objects,big,1,1,faces,P,female,VS,F,117,E05,487.310546875,0
0,1.0,0,26951,2.638671875,0.220703125,10.0,0.0,12,64,12,1244.46887207031,142.218765258789,0,1,objects,small,1,1,faces,P,female,VS,F,117,E05,487.310546875,0
0,1.0,0,26952,2.9375,0.115234375,11.0,0.0,15,78,13,1322.35827636719,622.429809570312,0,1,objects,small,1,1,faces,P,female,VS,F,117,E05,487.310546875,0
0,1.0,0,26975,0.9140625,0.166015625,3.0,1.0,12,66,5,1292.15051269531,308.150543212891,0,1,objects,small,1,1,objects,P,small,VS,O,118,E05,491.509765625,1
1,1.0,0,27161,1.853515625,0.11328125,5.0,0.0,12,65,10,1253.88195800781,247.339813232422,0,1,objects,small,1,1,objects,P,small,VS,O,124,E05,516.705078125,1
0,1.0,0,27318,3.076171875,0.171875,9.0,0.0,12,61,15,1120.76867675781,775.131042480469,0,1,objects,big,1,1,faces,P,female,VS,I,129,E05,537.701171875,0
0,1.0,0,27319,3.30859375,0.240234375,10.0,0.0,6,27,16,755.163757324219,979.310119628906,0,1,objects,big,1,1,faces,P,female,VS,I,129,E05,537.701171875,0
0,1.0,1,27531,1.53515625,0.14453125,5.0,0.0,8,36,7,903.770385742188,893.236267089844,0,1,objects,big,1,1,faces,P,male,VS,F,136,E05,567.095703125,0
0,1.0,0,27657,2.181640625,0.234375,6.0,0.0,7,47,12,1023.42156982422,234.68913269043,0,1,objects,big,1,1,faces,P,female,VS,I,140,E05,583.892578125,0
